,speaker,file,word,time,f1,f2,f3,f0,language,gender,glottocode,item,ipa,c1,c1_phonation,vowel,anteropost,height,c2,c2_phonation,c2_place
83,it01,it01-010,pucu,3,307.5167866051363,653.6778791092819,2272.7494978354307,126.52008632929773,Italian,m,ital1282,19,puku,p,voiceless,u,back,high,k,voiceless,velar
84,it01,it01-010,pucu,4,289.25325968397857,631.8148999138205,2303.419526520725,126.0306982212141,Italian,m,ital1282,19,puku,p,voiceless,u,back,high,k,voiceless,velar
85,it01,it01-010,pucu,5,283.1673354381471,627.918349191049,2356.6006411916005,125.67917842669095,Italian,m,ital1282,19,puku,p,voiceless,u,back,high,k,voiceless,velar
86,it01,it01-010,pucu,6,281.07653539966407,635.3061616046859,2386.1899954742357,125.11831732446416,Italian,m,ital1282,19,puku,p,voiceless,u,back,high,k,voiceless,velar
87,it01,it01-010,pucu,7,283.170241531989,635.1134571750255,2350.9838832181917,124.15501857335713,Italian,m,ital1282,19,puku,p,voiceless,u,back,high,k,voiceless,velar
88,it01,it01-010,pucu,8,280.9083416459061,623.6209810301269,2338.062922390656,122.43414360476896,Italian,m,ital1282,19,puku,p,voiceless,u,back,high,k,voiceless,velar
89,it01,it01-010,pucu,9,287.01069333105835,593.1193266689866,2298.7417605720184,120.24315275300609,Italian,m,ital1282,19,puku,p,voiceless,u,back,high,k,voiceless,velar
90,it01,it01-011,paga,1,643.4722884107944,1097.9885715200053,2234.8109091935976,116.44675272386264,Italian,m,ital1282,4,paga,p,voiceless,a,central,low,g,voiced,velar
91,it01,it01-011,paga,2,681.3744342939066,1141.2990881655894,2251.825891373992,113.17042807679282,Italian,m,ital1282,4,paga,p,voiceless,a,central,low,g,voiced,velar
92,it01,it01-011,paga,3,730.1684046299271,1145.3029265751877,2256.0169684069674,111.03553273831284,Italian,m,ital1282,4,paga,p,voiceless,a,central,low,g,voiced,velar
93,it01,it01-011,paga,4,742.6202315984166,1182.7013002509652,2245.31419548753,110.75276847893043,Italian,m,ital1282,4,paga,p,voiceless,a,central,low,g,voiced,velar
94,it01,it01-011,paga,5,743.7871300212295,1205.4583629931956,2192.588956318676,110.93269288968555,Italian,m,ital1282,4,paga,p,voiceless,a,central,low,g,voiced,velar
95,it01,it01-011,paga,6,743.9518178101999,1290.4016630039987,2130.34095495642,111.06396009197024,Italian,m,ital1282,4,paga,p,voiceless,a,central,low,g,voiced,velar
96,it01,it01-011,paga,7,719.717728558983,1353.5256292487038,2035.255171170343,111.1207445108863,Italian,m,ital1282,4,paga,p,voiceless,a,central,low,g,voiced,velar
97,it01,it01-011,paga,8,642.0138522132033,1438.2749029070014,1920.5031949546303,112.26899642797996,Italian,m,ital1282,4,paga,p,voiceless,a,central,low,g,voiced,velar
98,it01,it01-011,paga,9,558.7926528080852,1533.225647644262,1825.5001245288145,110.69520589941816,Italian,m,ital1282,4,paga,p,voiceless,a,central,low,g,voiced,velar
99,it01,it01-012,bada,1,594.1672423209158,1115.507789698374,2306.356697359009,111.44481578352293,Italian,m,ital1282,6,bada,b,voiced,a,central,low,d,voiced,coronal
100,it01,it01-012,bada,2,652.8588210920407,1144.2266043474417,2312.9407254500866,109.53623935175536,Italian,m,ital1282,6,bada,b,voiced,a,central,low,d,voiced,coronal
101,it01,it01-012,bada,3,717.6642149956581,1194.4837789471294,2327.132159644761,109.5804853300819,Italian,m,ital1282,6,bada,b,voiced,a,central,low,d,voiced,coronal
102,it01,it01-012,bada,4,729.8240993600419,1218.231467451061,2314.167618986776,109.56259609849214,Italian,m,ital1282,6,bada,b,voiced,a,central,low,d,voiced,coronal
103,it01,it01-012,bada,5,730.8252067817656,1239.8962435815238,2290.209389706205,109.89867528252849,Italian,m,ital1282,6,bada,b,voiced,a,central,low,d,voiced,coronal
104,it01,it01-012,bada,6,729.0877424338116,1266.5317696170034,2281.552255817045,110.541787262483,Italian,m,ital1282,6,bada,b,voiced,a,central,low,d,voiced,coronal
105,it01,it01-012,bada,7,723.1138711573259,1296.9090857858823,2252.4168046320906,110.45779035551664,Italian,m,ital1282,6,bada,b,voiced,a,central,low,d,voiced,coronal
106,it01,it01-012,bada,8,699.7445626904176,1324.3129586035768,2229.305151672211,110.78626329574622,Italian,m,ital1282,6,bada,b,voiced,a,central,low,d,voiced,coronal
107,it01,it01-012,bada,9,631.1301111652423,1354.6605228534802,2227.961279343975,111.5954708452125,Italian,m,ital1282,6,bada,b,voiced,a,central,low,d,voiced,coronal
108,it01,it01-013,bogo,1,462.20843102917615,883.3144508419877,2389.4039055420703,113.22426350395384,Italian,m,ital1282,16,bogo,b,voiced,o,back,mid,g,voiced,velar
109,it01,it01-013,bogo,2,530.9746271669117,896.6326014315556,2402.716953306668,109.211604539189,Italian,m,ital1282,16,bogo,b,voiced,o,back,mid,g,voiced,velar
110,it01,it01-013,bogo,3,550.3252334036985,906.1322788120168,2386.115597397141,109.89184070161058,Italian,m,ital1282,16,bogo,b,voiced,o,back,mid,g,voiced,velar
111,it01,it01-013,bogo,4,554.7247579485604,880.0158175208306,2397.680507031358,110.69107232788706,Italian,m,ital1282,16,bogo,b,voiced,o,back,mid,g,voiced,velar
112,it01,it01-013,bogo,5,555.9111251878468,873.9017827680866,2361.154851429506,112.49437638428556,Italian,m,ital1282,16,bogo,b,voiced,o,back,mid,g,voiced,velar
113,it01,it01-013,bogo,6,565.0311867289652,898.2329478091341,2285.5297406291384,113.81057380239072,Italian,m,ital1282,16,bogo,b,voiced,o,back,mid,g,voiced,velar
114,it01,it01-013,bogo,7,548.8963659462785,930.385021438614,2150.892993303784,115.75746067375422,Italian,m,ital1282,16,bogo,b,voiced,o,back,mid,g,voiced,velar
115,it01,it01-013,bogo,8,515.8940678122228,937.3897786434466,2046.170890884121,116.77405090142872,Italian,m,ital1282,16,bogo,b,voiced,o,back,mid,g,voiced,velar
116,it01,it01-013,bogo,9,423.5991591764501,929.33607668452,1979.5254857405243,116.5683761317666,Italian,m,ital1282,16,bogo,b,voiced,o,back,mid,g,voiced,velar
